Gene	FC
ENSG00000121410	15.210304019440485
ENSG00000148584	19.485389183218068
ENSG00000175899	9.24882405004784
ENSG00000166535	10.22340620494149
ENSG00000184389	2.708289765662334
ENSG00000128274	3.3300389836052626
ENSG00000118017	12.241590368623674
ENSG00000094914	3.340895091313564
ENSG00000081760	1.98737845915099
ENSG00000114771	19.112271876027858
ENSG00000197953	18.06585589192109
ENSG00000188984	19.271790246730184
ENSG00000204518	3.8203087381434884
ENSG00000109576	4.193643498550345
ENSG00000103591	1.926416149820358
ENSG00000115977	2.1835887279726443
ENSG00000087884	5.5194133190402574
ENSG00000127837	3.440046307724869
ENSG00000129673	4.120616865906439
ENSG00000131043	2.5228018697725463
ENSG00000205002	8.04676818518794
ENSG00000090861	1.7471443723724494
ENSG00000124608	1.5976752861316148
ENSG00000266967	2.079341176994371
ENSG00000157426	1.4876305177304674
ENSG00000149313	1.846461763418338
ENSG00000008311	4.684134293028172
ENSG00000275700	2.4597899517600346
ENSG00000181409	5.166902641818865
ENSG00000183044	10.725080949684608
ENSG00000165029	3.5729960323085077
ENSG00000154263	5.221701123210392
ENSG00000144452	10.279753718586136
ENSG00000179869	3.7749684466964197
ENSG00000107331	2.8056158297090596
ENSG00000167972	2.839282549755386
ENSG00000198691	3.0206260691187983
ENSG00000154265	3.857228427707774
ENSG00000154262	6.710646752328394
ENSG00000064687	5.865953949118213
ENSG00000141338	4.804159043910758
ENSG00000154258	5.17722863274673
ENSG00000085563	5.369874170275448
ENSG00000135776	1.8041405215362116
ENSG00000073734	18.209434966862215
ENSG00000005471	16.101026413059135
ENSG00000004846	7.033169124021074
ENSG00000115657	2.553299803155831
ENSG00000131269	1.467315518810532
ENSG00000197150	1.4618564452270344
ENSG00000150967	2.5167375728328607
ENSG00000103222	1.9904570005660507
ENSG00000124574	1.7008274712634668
ENSG00000121270	5.624383857197579
ENSG00000140798	12.078311766928788
ENSG00000023839	13.431960063064805
ENSG00000108846	4.927227579161798
ENSG00000125257	4.517890356315543
ENSG00000114770	2.213525809004711
ENSG00000091262	11.188358157212646
ENSG00000006071	10.807163588127295
ENSG00000069431	3.669128437256044
ENSG00000101986	1.9551107585271206
ENSG00000173208	10.39155202124374
ENSG00000117528	3.4658763421625185
ENSG00000119688	1.7096032673752584
ENSG00000164163	2.0900012448922385
ENSG00000204574	1.6696794872045744
ENSG00000033050	3.1283240991549244
ENSG00000161204	1.4457273156664148
ENSG00000160179	4.003591135095577
ENSG00000118777	3.094704809348401
ENSG00000172350	4.129022999708045
ENSG00000138075	19.18598606453306
ENSG00000143921	16.85432824878334
ENSG00000143994	4.675851206661139
ENSG00000144827	3.1530062617025845
ENSG00000106077	3.7155283935909
ENSG00000100997	2.318353211622601
ENSG00000131969	5.39741203429216
ENSG00000139826	1.6388142415582287
ENSG00000248487	3.268680445955081
ENSG00000114779	2.857888997623403
ENSG00000168792	2.6101688520184854
ENSG00000204427	6.012255431705043
ENSG00000129968	3.6071074414239974
ENSG00000107362	2.3243582405062164
ENSG00000136379	3.876464637912877
ENSG00000164074	2.3534899198839065
ENSG00000140526	4.701180586806539
ENSG00000158201	2.8050028356280006
ENSG00000100439	2.2696106222247288
ENSG00000011198	2.5344282407253016
ENSG00000163686	4.9135312448213755
ENSG00000127220	3.129564394596972
ENSG00000136754	2.045298213157448
ENSG00000138443	2.119193621296302
ENSG00000108798	6.963032804441687
ENSG00000154175	2.8431332497056943
ENSG00000119328	1.9452546201494088
ENSG00000097007	2.322557383823324
ENSG00000143322	3.7568378670767233
ENSG00000099204	4.733734704174645
ENSG00000163995	3.3786596120197467
ENSG00000173210	5.761884272519696
ENSG00000175164	5.240098710176927
ENSG00000159842	1.9425407863221409
ENSG00000174429	13.150726046170796
ENSG00000146386	2.109551700497473
ENSG00000163322	2.4628999083400327
ENSG00000165660	1.9017017167917132
ENSG00000146109	8.431667446939652
ENSG00000114626	11.234399454319712
ENSG00000166016	2.750715242927409
ENSG00000060971	5.937099531119323
ENSG00000167315	9.731253199130903
ENSG00000278540	2.069444880574067
ENSG00000076555	7.757478313923274
ENSG00000111271	1.8114884917922756
ENSG00000240303	5.447861552992526
ENSG00000151498	1.8225689525087838
ENSG00000177646	1.7534793302911753
ENSG00000115361	4.8060207940751365
ENSG00000117054	3.6780171790457006
ENSG00000122971	6.884034343528545
ENSG00000196177	10.28481443916915
ENSG00000072778	2.6824088687435665
ENSG00000157766	7.4242211307632076
ENSG00000072818	6.247926389852157
ENSG00000114331	1.9321756377233277
ENSG00000131584	1.8212869835486007
ENSG00000075239	8.233188147890427
