ENSG00000187642	PERM1
ENSG00000131584	ACAP3
ENSG00000127054	INTS11
ENSG00000215915	ATAD3C
ENSG00000008128	CDK11A
ENSG00000142609	CFAP74
ENSG00000067606	PRKCZ
ENSG00000157881	PANK4
ENSG00000130762	ARHGEF16
ENSG00000078900	TP73
ENSG00000116198	CEP104
ENSG00000169598	DFFB
ENSG00000131697	NPHP4
ENSG00000116251	RPL22
ENSG00000158286	RNF207
ENSG00000097021	ACOT7
ENSG00000120948	TARDBP
ENSG00000215910	C1orf167
ENSG00000120949	TNFRSF8
ENSG00000132906	CASP9
ENSG00000197312	DDI2
ENSG00000142632	ARHGEF19
ENSG00000219481	NBPF1
ENSG00000117245	KIF17
ENSG00000117298	ECE1
ENSG00000187942	LDLRAD2
ENSG00000117318	ID3
ENSG00000142676	RPL11
ENSG00000117305	HMGCL
ENSG00000001460	STPG1
ENSG00000020633	RUNX3
ENSG00000183726	TMEM50A
ENSG00000157978	LDLRAP1
ENSG00000162430	SELENON
ENSG00000117632	STMN1
ENSG00000130695	CEP85
ENSG00000117682	DHDDS
ENSG00000142748	FCN3
ENSG00000158161	EYA3
ENSG00000204138	PHACTR4
ENSG00000198492	YTHDF2
ENSG00000116350	SRSF4
ENSG00000121764	HCRTR1
ENSG00000121775	TMEM39B
ENSG00000116478	HDAC1
ENSG00000160058	BSDC1
ENSG00000116497	S100PBP
ENSG00000176256	HMGB4
ENSG00000163866	SMIM12
ENSG00000214193	SH3D21
ENSG00000119535	CSF3R
ENSG00000116922	C1orf109
ENSG00000183317	EPHA10
ENSG00000127603	MACF1
ENSG00000084072	PPIE
ENSG00000127124	HIVEP3
ENSG00000243710	CFAP57
ENSG00000066322	ELOVL1
ENSG00000142949	PTPRF
ENSG00000117410	ATP6V0B
ENSG00000178028	DMAP1
ENSG00000126106	TMEM53
ENSG00000198520	ARMH1
ENSG00000142937	RPS8
ENSG00000126088	UROD
ENSG00000280670	CCDC163
ENSG00000117481	NSUN4
ENSG00000162456	KNCN
ENSG00000162373	BEND5
ENSG00000154222	CC2D1B
ENSG00000134744	TUT4
ENSG00000121310	ECHDC2
ENSG00000162384	CZIB
ENSG00000058799	YIPF1
ENSG00000184313	MROH7
ENSG00000162601	MYSM1
ENSG00000162598	C1orf87
ENSG00000132849	PATJ
ENSG00000158966	CACHD1
ENSG00000162433	AK4
ENSG00000213625	LEPROT
ENSG00000203963	C1orf141
ENSG00000050628	PTGER3
ENSG00000117054	ACADM
ENSG00000117114	ADGRL2
ENSG00000137941	TTLL7
ENSG00000203943	SAMD13
ENSG00000153898	MCOLN2
ENSG00000055732	MCOLN3
ENSG00000097096	SYDE2
ENSG00000153904	DDAH1
ENSG00000065243	PKN2
ENSG00000137944	KYAT3
ENSG00000117226	GBP3
ENSG00000122482	ZNF644
ENSG00000067334	DNTTIP2
ENSG00000143036	SLC44A3
ENSG00000162627	SNX7
ENSG00000162688	AGL
ENSG00000117620	SLC35A3
ENSG00000118733	OLFM3
ENSG00000162631	NTNG1
ENSG00000196358	NTNG2
ENSG00000179902	CFAP276
ENSG00000221986	MYBPHL
ENSG00000162650	ATXN7L2
ENSG00000168765	GSTM4
ENSG00000197106	SLC6A17
ENSG00000121933	TMIGD3
ENSG00000007341	ST7L
ENSG00000155367	PPM1J
ENSG00000155380	SLC16A1
ENSG00000118655	DCLRE1B
ENSG00000116815	CD58
ENSG00000265491	RNF115
ENSG00000263956	NBPF11
ENSG00000203814	H2BC18
ENSG00000270276	H4C15
ENSG00000014914	MTMR11
ENSG00000118298	CA14
ENSG00000117360	PRPF3
ENSG00000143382	ADAMTSL4
