NOC2L_1	ENSG00000188976
KLHL17_1	ENSG00000187961
PLEKHN1_1	ENSG00000187583
HES4_1	ENSG00000188290
ISG15_2	ENSG00000187608
ISG15_1	ENSG00000187608
AGRN_1	ENSG00000188157
TTLL10_1	ENSG00000162571
TTLL10_2	ENSG00000162571
TNFRSF18_3	ENSG00000186891
TNFRSF18_1	ENSG00000186891
TNFRSF18_2	ENSG00000186891
TNFRSF4_1	ENSG00000186827
SDF4_1	ENSG00000078808
SDF4_2	ENSG00000078808
UBE2J2_1	ENSG00000160087
ACAP3_1	ENSG00000131584
PUSL1_2	ENSG00000169972
PUSL1_1	ENSG00000169972
ACAP3_2	ENSG00000131584
DVL1_1	ENSG00000107404
MXRA8_1	ENSG00000162576
AURKAIP1_1	ENSG00000175756
AURKAIP1_2	ENSG00000175756
CCNL2_1	ENSG00000221978
MRPL20_1	ENSG00000242485
ANKRD65_1	ENSG00000235098
VWA1_1	ENSG00000179403
ATAD3B_1	ENSG00000160072
ATAD3A_1	ENSG00000197785
SSU72_2	ENSG00000160075
SSU72_1	ENSG00000160075
MIB2_1	ENSG00000197530
MMP23B_1	ENSG00000189409
CDK11B_5	ENSG00000248333
CDK11B_1	ENSG00000248333
CDK11B_3	ENSG00000248333
SLC35E2B_2	ENSG00000189339
SLC35E2B_4	ENSG00000189339
SLC35E2B_1	ENSG00000189339
CDK11B_4	ENSG00000248333
CDK11B_2	ENSG00000248333
CDK11A_1	ENSG00000008128
SLC35E2B_3	ENSG00000189339
SLC35E2_2	ENSG00000215790
SLC35E2_1	ENSG00000215790
SLC35E2_3	ENSG00000215790
NADK_2	ENSG00000008130
NADK_3	ENSG00000008130
NADK_1	ENSG00000008130
NADK_4	ENSG00000008130
GNB1_2	ENSG00000078369
GNB1_1	ENSG00000078369
TMEM52_2	ENSG00000178821
TMEM52_1	ENSG00000178821
GABRD_1	ENSG00000187730
PRKCZ_5	ENSG00000067606
PRKCZ_1	ENSG00000067606
PRKCZ_3	ENSG00000067606
PRKCZ_2	ENSG00000067606
FAAP20_1	ENSG00000162585
SKI_1	ENSG00000157933
MORN1_1	ENSG00000116151
RER1_1	ENSG00000157916
PEX10_1	ENSG00000157911
PEX10_2	ENSG00000157911
PLCH2_1	ENSG00000149527
PLCH2_2	ENSG00000149527
HES5_1	ENSG00000197921
TNFRSF14_3	ENSG00000157873
TNFRSF14_1	ENSG00000157873
TNFRSF14_2	ENSG00000157873
FAM213B_2	ENSG00000157870
FAM213B_1	ENSG00000157870
MMEL1_2	ENSG00000142606
MMEL1_1	ENSG00000142606
PRDM16_2	ENSG00000142611
PRDM16_1	ENSG00000142611
SMIM1_2	ENSG00000235169
MEGF6_1	ENSG00000162591
MEGF6_2	ENSG00000162591
TPRG1L_2	ENSG00000158109
MEGF6_3	ENSG00000162591
TPRG1L_1	ENSG00000158109
WRAP73_1	ENSG00000116213
TP73_1	ENSG00000078900
TP73_3	ENSG00000078900
CCDC27_1	ENSG00000162592
SMIM1_1	ENSG00000235169
LRRC47_1	ENSG00000130764
DFFB_2	ENSG00000169598
C1orf174_1	ENSG00000198912
AJAP1_1	ENSG00000196581
KCNAB2_2	ENSG00000069424
KCNAB2_3	ENSG00000069424
KCNAB2_1	ENSG00000069424
CHD5_1	ENSG00000116254
ICMT_1	ENSG00000116237
GPR153_2	ENSG00000158292
GPR153_1	ENSG00000158292
ACOT7_4	ENSG00000097021
ACOT7_5	ENSG00000097021
ACOT7_3	ENSG00000097021
ACOT7_2	ENSG00000097021
HES2_1	ENSG00000069812
HES2_2	ENSG00000069812
ESPN_1	ENSG00000187017
ESPN_2	ENSG00000187017
ESPN_3	ENSG00000187017
TNFRSF25_1	ENSG00000215788
TNFRSF25_2	ENSG00000215788
PLEKHG5_3	ENSG00000171680
PLEKHG5_2	ENSG00000171680
PLEKHG5_1	ENSG00000171680
PLEKHG5_4	ENSG00000171680
NOL9_1	ENSG00000162408
ZBTB48_1	ENSG00000204859
KLHL21_3	ENSG00000162413
KLHL21_1	ENSG00000162413
KLHL21_2	ENSG00000162413
PHF13_1	ENSG00000116273
THAP3_2	ENSG00000041988
THAP3_1	ENSG00000041988
DNAJC11_2	ENSG00000007923
DNAJC11_1	ENSG00000007923
CAMTA1_1	ENSG00000171735
VAMP3_1	ENSG00000049245
PER3_1	ENSG00000049246
PER3_3	ENSG00000049246
PER3_2	ENSG00000049246
UTS2_2	ENSG00000049247
UTS2_1	ENSG00000049247
TNFRSF9_1	ENSG00000049249
PARK7_2	ENSG00000116288
PARK7_1	ENSG00000116288
ERRFI1_1	ENSG00000116285
RERE_2	ENSG00000142599
RERE_1	ENSG00000142599
RERE_3	ENSG00000142599
ENO1_1	ENSG00000074800
CA6_1	ENSG00000131686
SLC2A5_1	ENSG00000142583
GPR157_1	ENSG00000180758
GPR157_3	ENSG00000180758
GPR157_2	ENSG00000180758
H6PD_1	ENSG00000049239
H6PD_2	ENSG00000049239
SPSB1_1	ENSG00000171621
SPSB1_2	ENSG00000171621
SLC25A33_1	ENSG00000171612
TMEM201_1	ENSG00000188807
PIK3CD_2	ENSG00000171608
PIK3CD_1	ENSG00000171608
PIK3CD_3	ENSG00000171608
CLSTN1_1	ENSG00000171603
CLSTN1_2	ENSG00000171603
CTNNBIP1_1	ENSG00000178585
LZIC_2	ENSG00000162441
LZIC_1	ENSG00000162441
NMNAT1_1	ENSG00000173614
RBP7_1	ENSG00000162444
UBE4B_1	ENSG00000130939
KIF1B_2	ENSG00000054523
KIF1B_1	ENSG00000054523
PGD_1	ENSG00000142657
CENPS_2	ENSG00000175279
CENPS_1	ENSG00000175279
CORT_2	ENSG00000241563
CORT_1	ENSG00000241563
DFFA_1	ENSG00000160049
DFFA_2	ENSG00000160049
PEX14_1	ENSG00000142655
CASZ1_2	ENSG00000130940
CASZ1_1	ENSG00000130940
TARDBP_3	ENSG00000120948
TARDBP_1	ENSG00000120948
TARDBP_2	ENSG00000120948
TARDBP_4	ENSG00000120948
MASP2_1	ENSG00000009724
SRM_1	ENSG00000116649
EXOSC10_1	ENSG00000171824
ANGPTL7_1	ENSG00000171819
MTOR_1	ENSG00000198793
UBIAD1_1	ENSG00000120942
UBIAD1_2	ENSG00000120942
DISP3_1	ENSG00000204624
DISP3_2	ENSG00000204624
DISP3_3	ENSG00000204624
FBXO2_1	ENSG00000116661
FBXO6_3	ENSG00000116663
FBXO2_2	ENSG00000116661
FBXO44_1	ENSG00000132879
FBXO6_2	ENSG00000116663
FBXO44_2	ENSG00000132879
FBXO6_4	ENSG00000116663
FBXO6_1	ENSG00000116663
MAD2L2_3	ENSG00000116670
MAD2L2_1	ENSG00000116670
DRAXIN_1	ENSG00000162490
MAD2L2_2	ENSG00000116670
AGTRAP_1	ENSG00000177674
MTHFR_1	ENSG00000177000
MTHFR_3	ENSG00000177000
MTHFR_2	ENSG00000177000
CLCN6_1	ENSG00000011021
NPPA_1	ENSG00000175206
NPPA_2	ENSG00000175206
NPPB_1	ENSG00000120937
KIAA2013_1	ENSG00000116685
PLOD1_1	ENSG00000083444
MFN2_2	ENSG00000116688
MFN2_1	ENSG00000116688
MIIP_1	ENSG00000116691
TNFRSF8_1	ENSG00000120949
TNFRSF8_3	ENSG00000120949
TNFRSF1B_1	ENSG00000028137
VPS13D_1	ENSG00000048707
DHRS3_3	ENSG00000162496
DHRS3_1	ENSG00000162496
DHRS3_4	ENSG00000162496
DHRS3_2	ENSG00000162496
DHRS3_7	ENSG00000162496
DHRS3_5	ENSG00000162496
DHRS3_6	ENSG00000162496
C1orf158_1	ENSG00000157330
PRAMEF1_1	ENSG00000116721
HNRNPCL1_1	ENSG00000179172
HNRNPCL2_1	ENSG00000275774
LRRC38_2	ENSG00000162494
LRRC38_1	ENSG00000162494
PDPN_1	ENSG00000162493
PDPN_2	ENSG00000162493
PRDM2_1	ENSG00000116731
KAZN_4	ENSG00000189337
KAZN_2	ENSG00000189337
KAZN_3	ENSG00000189337
KAZN_1	ENSG00000189337
KAZN_5	ENSG00000189337
TMEM51_2	ENSG00000171729
TMEM51_1	ENSG00000171729
EFHD2_1	ENSG00000142634
CTRC_1	ENSG00000162438
CELA2A_1	ENSG00000142615
CELA2B_1	ENSG00000215704
CASP9_2	ENSG00000132906
CASP9_3	ENSG00000132906
DNAJC16_1	ENSG00000116138
AGMAT_1	ENSG00000116771
AGMAT_2	ENSG00000116771
DDI2_1	ENSG00000197312
PLEKHM2_2	ENSG00000116786
PLEKHM2_1	ENSG00000116786
SLC25A34_1	ENSG00000162461
TMEM82_1	ENSG00000162460
FBLIM1_2	ENSG00000162458
FBLIM1_1	ENSG00000162458
SPEN_2	ENSG00000065526
SPEN_1	ENSG00000065526
ZBTB17_1	ENSG00000116809
C1orf64_1	ENSG00000183888
HSPB7_1	ENSG00000173641
HSPB7_2	ENSG00000173641
CLCNKA_1	ENSG00000186510
CLCNKB_1	ENSG00000184908
CLCNKB_2	ENSG00000184908
FAM131C_1	ENSG00000185519
EPHA2_1	ENSG00000142627
ARHGEF19_2	ENSG00000142632
RSG1_1	ENSG00000132881
