#Name	TATA-box	Inr	CCAAT-box	GC-box
MIOS_1	0	0	1	1
NRN1_1	0	1	0	1
RNPC3_1	0	1	0	1
COL19A1_1	0	1	0	0
CCDC144A_6	0	0	0	0
TJP1_3	0	1	0	1
GUF1_1	0	0	0	0
CABP1_1	0	1	0	1
NOV_1	1	0	0	0
TLR10_1	0	1	0	0
ZNF626_1	0	0	1	1
ZNF708_1	0	1	0	0
FAM78A_1	1	0	0	0
MME_1	0	1	0	1
BAG5_2	0	0	0	0
LRRTM4_1	0	1	0	0
ABCA3_1	0	1	0	0
RGS7BP_3	0	0	0	1
FAM181A_1	0	0	1	0
ZNF248_1	0	0	0	0
ZNF273_2	0	1	1	1
SPANXA1_2	1	0	1	1
SLC15A1_1	0	0	0	1
GSTO2_3	0	0	1	0
HCFC1R1_1	0	0	0	1
SF3A3_3	0	0	0	0
TRPC4_1	0	0	0	0
FRZB_1	0	1	0	0
ABCD4_1	0	1	0	0
INPP5B_1	0	0	0	0
MTM1_1	0	1	0	1
HNRNPL_7	0	0	0	1
ADAT2_1	0	0	1	0
RAB3GAP1_1	0	0	0	1
CHGA_2	0	0	1	0
SLC13A5_1	0	0	0	1
TMIE_2	0	0	0	1
RPL26_6	0	0	0	0
PABPN1_3	0	0	0	1
STARD3NL_1	0	0	1	0
CCKAR_1	1	0	0	1
CAST_2	0	1	0	1
IL11_1	1	1	0	0
ARHGDIA_2	0	1	0	0
C2_1	0	0	0	1
TEX2_1	0	0	1	1
TBCD_2	0	0	0	0
HP_1	0	0	0	0
FNDC3A_5	0	1	0	0
TESPA1_1	0	0	0	0
HIVEP1_2	0	1	0	0
SLC25A15_2	0	0	0	1
ZNF10_2	0	0	0	0
ATOX1_1	0	0	0	1
NDRG1_1	1	1	0	1
PCDH10_1	0	1	1	0
DLX5_1	0	1	1	1
VPS39_1	0	0	0	0
TREML2_1	0	0	0	1
AMY1B_1	0	0	0	1
PCDHA3_1	0	1	0	0
SCEL_1	0	1	0	0
KCNJ11_1	0	0	0	1
SEMA6A_1	0	0	0	1
CGB1_1	0	1	1	0
WBP1L_2	0	1	0	0
LTBP2_2	1	0	0	1
E2F5_1	0	1	0	1
UBAP2L_3	0	0	0	0
RAPGEFL1_1	0	0	0	1
NDUFS1_1	0	1	0	1
NDST4_3	0	1	0	0
SLC18A1_1	1	0	0	1
CHD2_4	0	0	0	0
PRRC2B_1	0	1	0	1
ARHGEF11_4	0	0	0	1
IGLL5_7	0	0	1	1
MARCH5_1	0	0	0	0
ZYX_1	0	1	0	1
CASP8AP2_1	0	0	1	1
CDC42EP3_1	0	1	0	1
DBF4B_1	0	0	1	0
TRIM7_1	0	1	1	1
CRISPLD2_1	1	1	0	1
SFRP4_1	1	0	0	1
AMACR_2	1	0	1	0
C2orf76_1	0	0	1	1
POLR2J3_2	0	0	0	0
ZNF219_1	0	0	0	1
HSPB1_1	1	0	0	1
PLEKHG3_2	0	1	0	0
PPP1R1A_1	0	1	0	0
NFE4_1	1	0	0	0
OCLN_1	0	1	0	1
FOXM1_1	0	1	1	0
PDDC1_1	0	0	0	1
DEFA4_1	1	0	0	0
IER2_1	1	0	1	1
ANKRD20A4_1	0	0	0	1
SLC16A13_1	0	0	0	1
PCCA_1	0	0	0	1
MAP2_2	0	1	1	0
ERVMER34-1_1	0	1	1	1
FCHSD2_5	0	0	0	0
LRP5_1	0	0	0	1
ZC3HAV1_2	0	1	0	0
ZNF165_2	0	0	0	1
NR5A2_1	0	0	0	0
GOLGA8A_5	0	0	0	1
ZNF611_2	0	1	0	1
ENO2_2	0	0	0	1
CDON_2	0	1	0	1
BEND6_1	0	0	0	0
ZNF644_1	0	0	1	0
CDC42BPB_1	0	0	0	1
ASB2_1	0	0	0	0
TTC26_1	0	1	0	0
ROBO4_1	0	0	0	1
ANGEL1_2	0	1	0	0
WASF3_1	0	0	1	0
VHL_1	0	0	0	0
DLG2_1	0	0	0	0
ZNF462_3	0	0	0	0
SLC2A10_2	0	0	0	0
GULP1_3	0	1	0	0
MPPED2_3	0	0	1	1
AGBL5_1	0	1	1	0
C1orf101_1	0	0	0	0
DNASE2_1	0	1	0	1
RCL1_1	0	0	1	1
HFM1_1	0	0	0	0
ATXN2L_2	1	0	0	1
LAMA3_3	0	0	0	0
C19orf80_3	0	0	0	0
METRN_1	0	0	0	1
UTP14A_1	0	0	0	1
TRPV3_1	0	1	0	1
CUZD1_3	0	0	1	0
KANK1_4	1	0	0	0
MRPL38_1	0	0	0	1
PIM1_1	0	0	0	1
TGFBR3_2	0	1	0	1
UROD_1	0	1	0	1
MYBPH_1	1	1	0	1
FLT3LG_4	0	1	0	0
CACTIN_1	0	0	0	0
CTNND1_4	0	0	1	1
ZNF443_2	0	0	0	0
BLOC1S5_1	0	0	0	0
HPS1_1	0	0	0	1
PRRC1_1	0	1	0	1
HNRNPH1_1	0	0	0	1
VSIG10_1	0	0	0	1
SNUPN_2	0	0	0	0
CFAP43_2	0	0	1	0
CLPSL2_1	0	0	0	0
FOXP3_1	1	1	0	0
PSMA5_1	0	0	1	0
TRAPPC10_1	0	0	0	1
RERE_3	0	0	0	0
HKDC1_1	1	0	1	1
COX11_1	0	1	0	0
GNPAT_2	0	1	0	0
PRMT1_1	0	0	1	0
ZW10_1	0	1	0	0
ZBTB20_3	0	0	0	0
PTPN14_2	0	0	0	1
FXN_2	0	0	0	0
CHCHD3_1	0	0	0	0
SPNS2_2	0	0	1	0
SLC35E2B_2	0	0	0	0
CASC4_1	0	1	0	0
RNF20_1	0	0	0	1
BAZ2B_3	0	0	0	0
PPP1R2_1	1	0	0	1
FAM25G_1	1	1	0	1
ITPA_3	0	0	1	1
NID2_1	0	0	1	0
UBQLN1_3	0	0	0	1
ZIC4_2	0	0	0	0
KBTBD11_1	0	1	0	0
SEC14L5_2	0	1	0	0
GPAM_2	0	1	1	0
PRMT1_2	0	0	0	0
SKP1_1	1	0	0	0
CHRAC1_1	0	0	1	1
RPTOR_1	0	1	0	1
PKD1_1	0	1	0	1
CUZD1_2	1	1	1	1
SALL1_2	0	0	0	1
S100PBP_1	1	0	1	1
DENND1B_3	0	1	1	0
STIM2_3	0	0	0	0
RAB11FIP4_1	0	0	0	1
TDGF1_1	0	1	0	0
MYO1E_2	0	0	1	0
CYB561_1	0	1	0	0
MAP1LC3C_1	1	1	0	0
MAP3K6_1	0	0	0	1
FAM53B_10	0	1	0	0
PPP1R18_1	0	1	0	1
TSSC1_1	0	1	1	0
SLC35E3_1	0	0	0	0
FADS3_2	0	1	0	0
ASNS_1	1	0	0	1
SMARCC1_1	0	1	0	0
TAGLN2_1	0	0	0	0
LGALS8_3	0	0	0	1
RNASE1_2	0	1	0	0
ADHFE1_1	0	0	1	0
FAS_4	0	0	0	0
ATXN1_3	0	0	0	0
KCNJ2_1	0	1	1	1
PSMD9_2	0	0	0	0
PPA1_1	0	0	0	1
ANP32A_1	0	0	1	0
STON1-GTF2A1L_2	0	1	0	1
PDGFRA_12	0	0	0	0
GATSL3_1	0	0	0	1
FAM155A_3	0	0	0	0
PLEKHO2_3	0	0	1	0
EML3_1	0	0	0	1
MPP4_1	0	0	0	0
TP53BP1_1	0	0	0	1
PELI1_1	0	1	0	1
ABLIM3_1	0	0	0	1
ARRDC3_1	0	0	0	0
TSPAN8_3	0	0	0	0
LATS1_2	0	0	0	0
HAUS8_2	0	0	0	0
PPP1R14B_4	0	1	0	1
FAM198B_4	0	0	1	0
KCNK3_3	0	0	0	0
SLC30A4_1	0	1	0	1
AIFM1_1	0	0	0	0
ACOT12_3	1	0	1	1
B3GNT5_4	0	0	1	0
ENKUR_1	0	1	0	0
ROS1_1	0	0	0	0
DCAF17_1	0	0	0	1
FAM90A1_1	0	0	0	1
NPEPPS_3	0	1	0	0
LRCH1_1	0	0	0	0
WDR27_3	0	0	0	0
RNF31_3	0	0	0	0
PUM1_1	0	1	0	0
DEFA1_1	1	0	0	0
TMPRSS13_1	0	0	0	0
COX7B2_1	0	0	1	0
TSPAN7_2	0	0	0	1
NUDC_1	0	0	1	1
PKD1L1_3	0	0	0	1
WTAP_2	0	0	1	0
CERS2_3	0	1	0	0
GRIK1_1	0	1	0	1
ARFGAP1_1	0	0	0	0
NAA38_4	0	0	0	1
TGM5_1	0	1	0	0
ARHGAP36_3	0	0	0	1
IL22RA2_2	0	1	1	0
PLXNA4_1	0	1	0	0
GSTT2B_1	0	1	0	1
CRYGS_1	1	0	0	1
UBE2I_2	0	0	0	1
CEBPZ_1	0	0	0	1
R3HDM2_8	0	0	0	1
PCNX3_1	0	0	0	1
LMOD1_1	0	0	1	1
ZNF264_2	0	0	0	1
RIPK2_1	0	0	0	1
HAMP_2	0	0	0	0
H2AFJ_1	0	0	0	0
ZNF302_1	0	0	0	0
MX2_1	1	0	0	0
DDX47_2	0	0	1	0
KIAA0040_2	0	0	0	1
LCORL_1	1	1	0	0
TRPM1_2	0	0	0	0
PPM1A_3	0	1	0	1
C2CD2_1	0	0	0	1
CHN2_7	0	1	0	1
EPPIN_1	0	1	0	0
CEP170_4	0	0	1	0
TARBP1_1	0	1	0	1
ZNF436_2	0	0	0	1
KRT222_1	0	1	0	0
MAP3K12_3	0	0	0	0
STXBP3_1	0	0	0	0
WSCD1_4	0	0	0	0
SLC6A2_1	0	0	0	1
METTL10_2	0	0	0	0
HSPH1_1	0	1	1	1
FOXO4_2	1	0	0	1
SLC44A3_3	0	0	0	1
LARP4_2	0	1	0	1
PIWIL2_1	0	0	1	1
DGKG_2	0	0	0	0
DEFB129_1	1	1	0	0
CGB2_2	0	1	1	0
GPR17_1	1	0	0	1
ANGPTL6_2	0	0	0	0
AGAP3_1	0	0	0	0
PSTPIP1_1	0	1	0	1
LRRC49_1	0	1	1	1
SPAG16_1	0	1	0	1
MGST3_3	0	0	0	0
AREG_1	1	1	0	1
DYNC1I2_2	0	0	0	0
MST1_1	0	1	0	0
B4GALT2_1	0	0	0	1
TBATA_1	0	0	0	0
ZNF586_1	0	0	1	1
HABP4_1	0	0	1	1
RIMKLB_1	0	0	0	1
PCP2_3	1	0	0	1
AK8_2	0	0	0	1
F2RL3_1	1	0	0	0
HAUS4_1	0	0	0	1
FAM134B_1	0	0	0	1
CCDC60_1	0	0	1	1
GRAMD1A_3	0	0	1	1
CAPN1_6	0	0	0	1
ZNF563_2	0	0	1	1
CLEC1B_1	0	1	0	0
QSER1_1	0	1	0	0
TTC7A_3	0	1	0	0
RHOQ_2	0	0	0	1
RIPK4_1	0	0	0	1
BOLA1_1	0	0	0	0
TRA2B_1	0	0	0	1
GALM_2	0	0	0	0
FGD4_4	1	0	1	0
JKAMP_1	0	0	0	1
SLC4A7_1	0	1	0	1
DR1_2	0	0	0	0
SNRPD1_2	0	1	0	0
DUT_2	0	1	0	1
VAMP1_1	1	1	0	1
CPA2_1	0	1	0	0
PRICKLE4_1	0	1	0	1
CDK1_3	0	0	0	0
CDK19_2	0	0	0	1
CSNK1G3_1	0	0	1	1
GPBP1L1_1	0	1	0	1
TET2_4	1	0	0	0
DMWD_1	0	0	0	1
BCO2_3	0	1	0	0
XYLT2_1	0	0	0	1
HSD17B1_1	0	1	0	1
SPEM1_1	0	1	0	1
ATP2A2_2	0	0	0	1
SHC1_2	0	0	1	1
ALG11_1	0	0	1	1
PLSCR3_1	0	0	0	1
C11orf54_3	0	0	0	0
RAI14_1	0	1	0	0
PRSS12_1	0	0	0	1
BPGM_2	0	0	0	1
UBXN4_1	0	1	0	0
LRRC39_1	0	1	0	0
RANGAP1_3	0	1	0	0
MAN2B1_1	0	0	0	0
ZBTB7C_2	0	1	0	1
ERBIN_4	0	0	0	0
NIN_1	0	0	0	1
LEMD3_1	0	1	1	0
RP11-514P8_5	0	0	1	0
SPATA6_2	0	0	0	0
PPP1R10_1	1	1	1	1
POP1_1	0	0	0	1
NT5DC4_1	0	1	0	0
ZBP1_1	0	1	0	0
PTPN12_2	0	1	0	1
ATP11A_2	0	0	0	0
GON4L_2	0	0	0	1
HMGA2_6	0	1	0	0
TUT1_2	0	0	0	0
CENPN_1	0	1	0	1
ENO1_1	0	1	0	1
MARK3_1	0	0	1	1
PHC1_3	0	0	0	0
HAGHL_1	0	1	0	0
TBC1D2_2	0	0	0	1
MVK_2	0	0	0	0
SCN2A_1	0	0	0	1
CMC4_4	0	0	0	1
KLF5_2	0	0	0	1
IMPAD1_1	0	0	0	1
CHN2_10	0	0	0	0
LRRC38_2	0	1	0	1
IL18R1_1	0	0	0	0
HMGB2_3	0	0	0	0
INPP4A_2	0	0	0	0
CCDC112_3	0	0	0	0
HENMT1_3	0	0	0	0
NT5DC3_1	0	1	0	1
KRTDAP_1	1	1	0	0
ATAT1_1	0	0	0	1
SCG5_1	0	1	0	1
CD8B_2	0	0	0	1
RPLP0_2	0	0	0	1
DIO2_5	1	1	1	0
ZC2HC1B_1	0	0	1	0
BEAN1_3	0	1	0	0
RHOJ_1	0	1	0	0
REG3G_1	1	0	0	1
KRT26_1	0	0	0	0
PDIA3_1	0	1	1	1
SOCS4_2	0	0	0	1
MORN3_1	0	0	0	0
B3GNT5_1	0	0	0	1
RABL3_1	0	1	1	1
C8G_1	0	1	0	1
SHPRH_2	0	0	0	0
GFM1_1	0	1	0	1
SERF2_2	0	0	0	1
MRAS_1	1	0	0	0
FCRL6_2	0	0	1	0
SHBG_1	0	0	0	0
LGR6_1	0	1	0	0
RNASE1_1	1	0	0	1
UNC13B_1	0	0	1	1
SCCPDH_2	0	0	0	0
TTC12_1	0	0	0	1
C9orf50_2	0	0	0	1
LAMB3_4	0	0	0	1
SPHKAP_2	0	0	0	0
MRPS11_1	0	1	0	0
ZDHHC11_3	0	0	0	1
PSMB4_1	0	0	0	0
RABEP2_1	0	1	0	1
PTPRJ_2	0	0	0	0
CEPT1_2	0	0	0	0
PPP2R4_5	0	0	0	0
KIAA0355_3	0	0	0	1
GTF2IRD1_1	0	0	1	0
SLC4A8_3	0	0	0	1
ACY3_1	0	0	0	0
GAL3ST1_3	0	0	0	1
CEPT1_1	0	1	0	0
KMT2C_2	0	0	0	1
SERPIND1_1	0	1	0	0
